n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability,prior_probability,num_unobserved_ancestors,num_unobserved_neighbours,abs_diff,rel_diff,llm_probability,llm_response
8,5,5,confusing,range:2-3,1.0,0.0,44,0,17,8,0,0,[np.str_('K_5si3ik')],['s2'],{np.str_('X_wzdhd9'): 's1'},2,1,0.1536473763035615,0.3134326328862906,2,4,0.15978525658272907,-0.5097913867848507,,
8,5,5,confusing,range:2-3,1.0,0.0,44,0,17,8,0,10,[np.str_('K_5si3ik')],['s1'],"{np.str_('X_wzdhd9'): 's1', np.str_('I_rk69zv'): 's1'}",2,2,0.6186814731369824,0.3212137783409514,2,4,0.297467694796031,0.926073894875969,0.5868,"Final Answer: P(K_5si3ik=s1 | X_wzdhd9=s1, I_rk69zv=s1) = 0.5868"
8,5,5,confusing,range:2-3,1.0,0.0,10017,1,17,8,1,7,"[np.str_('W_qis23b'), np.str_('X_wzdhd9')]","['s1', 's2']",{np.str_('K_5si3ik'): 's1'},1,1,0.19709388263231759,0.06583506618110224,3,4,0.13125881645121534,1.9937523278269718,,
8,5,5,confusing,range:2-3,1.0,0.0,19990,2,17,8,2,8,"[np.str_('W_qis23b'), np.str_('M_clcji8')]","['s1', 's1']","{np.str_('K_5si3ik'): 's1', np.str_('K_gvnrp2'): 's1'}",1,2,0.30357931257366605,0.17445554736236896,4,4,0.1291237652112971,0.7401528192341668,,
8,5,5,confusing,range:2-3,0.5,0.0,10018,1,17,8,5,16,[np.str_('U_9d6udx')],['s2'],{np.str_('W_qis23b'): 's0'},2,1,0.4675200878875234,0.30133866784198615,0,4,0.16618142004553726,0.5514772506151726,,
8,5,5,confusing,range:2-3,0.5,0.0,19991,2,17,8,6,3,"[np.str_('K_5si3ik'), np.str_('W_qis23b')]","['s1', 's1']",{np.str_('U_9d6udx'): 's0'},1,1,0.3761673392000373,0.13032506759204315,3,5,0.24584227160799416,1.886377472502487,,
8,5,5,confusing,range:2-3,0.5,0.0,19991,2,17,8,6,7,"[np.str_('X_wzdhd9'), np.str_('W_qis23b')]","['s0', 's0']",{np.str_('G_bo3vt6'): 's2'},1,1,0.26801096753864734,0.16024491216195177,3,4,0.10776605537669556,0.6725084367594875,0.268,"Final Answer: P(X_wzdhd9=s0, W_qis23b=s0 | G_bo3vt6=s2) = 0.2680"
8,5,5,confusing,range:2-3,0.5,0.0,19991,2,17,8,6,10,[np.str_('K_5si3ik')],['s0'],"{np.str_('I_rk69zv'): 's1', np.str_('X_wzdhd9'): 's0'}",2,2,0.6227804759196068,0.4062850719878927,2,4,0.21649540393171413,0.5328657606651265,,
8,5,5,confusing,range:2-3,0.5,0.0,19991,2,17,8,6,17,"[np.str_('U_9d6udx'), np.str_('W_qis23b')]","['s1', 's0']","{np.str_('G_bo3vt6'): 's0', np.str_('M_clcji8'): 's0'}",1,2,0.5503130276523497,0.2535812079775523,3,4,0.2967318196747974,1.1701648637191795,0.56,"Final Answer: P(U_9d6udx=s1, W_qis23b=s0 | G_bo3vt6=s0, M_clcji8=s0) = 0.5600"
8,5,5,confusing,range:2-3,0.5,0.0,19991,2,17,8,6,22,[np.str_('K_gvnrp2')],['s1'],"{np.str_('I_rk69zv'): 's0', np.str_('M_clcji8'): 's1'}",2,2,0.7005537617337755,0.4497534453133447,5,5,0.25080031642043077,0.5576395668202104,,
8,5,5,confusing,range:2-3,0.5,0.0,29964,3,17,8,7,4,"[np.str_('K_5si3ik'), np.str_('G_bo3vt6')]","['s1', 's1']",{np.str_('U_9d6udx'): 's1'},1,1,0.17374015012554928,0.035635684756440626,2,4,0.13810446536910864,3.875454233951497,0.1736,"Final Answer: P(K_5si3ik=s1, G_bo3vt6=s1 | U_9d6udx=s1) = 0.1736"
8,5,5,confusing,range:2-3,0.5,0.0,29964,3,17,8,7,5,"[np.str_('K_gvnrp2'), np.str_('G_bo3vt6')]","['s1', 's0']","{np.str_('M_clcji8'): 's1', np.str_('I_rk69zv'): 's1'}",1,2,0.06349614872027587,0.2307393416976643,5,4,0.16724319297738843,-0.7248143803605269,,
8,5,5,confusing,range:2-3,0.5,0.0,29964,3,17,8,7,11,[np.str_('I_rk69zv')],['s0'],{np.str_('X_wzdhd9'): 's2'},1,1,0.6796113589496371,0.4212319347473376,4,2,0.2583794242022995,0.613389923433227,,
