n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability,llm_probability,llm_response
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,0,[np.str_('K_kx9xcv')],['s1'],{np.str_('L_vy01po'): 's0'},2,1,0.40643106436153525,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,1,[np.str_('Z_7j9n4o')],['s0'],{np.str_('O_cguird'): 's0'},3,1,0.6309802145614881,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,2,[np.str_('O_cguird')],['s2'],"{np.str_('R_dbfd2r'): 's1', np.str_('O_gh8nq9'): 's2'}",2,2,0.5112501543437336,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,3,"[np.str_('O_gh8nq9'), np.str_('O_cguird')]","['s2', 's0']",{},0,0,0.12241264711487608,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,4,"[np.str_('U_bx3bu6'), np.str_('R_dbfd2r')]","['s2', 's1']",{},0,0,0.04719627190895271,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,5,"[np.str_('Y_nizbt1'), np.str_('R_dbfd2r')]","['s1', 's1']",{np.str_('Z_7j9n4o'): 's0'},2,1,0.25316819846297434,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,6,[np.str_('K_kx9xcv')],['s0'],{},0,0,0.14526710355140665,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,7,"[np.str_('R_dbfd2r'), np.str_('G_2ohusw')]","['s0', 's1']",{np.str_('O_cguird'): 's2'},1,1,0.377944393818548,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,8,"[np.str_('L_vy01po'), np.str_('O_gh8nq9')]","['s0', 's1']",{},0,0,0.09601326340594592,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,9,[np.str_('K_kx9xcv')],['s0'],"{np.str_('O_gh8nq9'): 's0', np.str_('L_vy01po'): 's0'}",2,2,0.2927935836676991,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,10,[np.str_('O_gh8nq9')],['s1'],{},0,0,0.19501896537143862,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,11,"[np.str_('Y_nizbt1'), np.str_('O_gh8nq9')]","['s0', 's2']","{np.str_('U_bx3bu6'): 's1', np.str_('O_cguird'): 's2'}",2,2,0.22095665740808149,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,0,"[np.str_('O_gh8nq9'), np.str_('L_vy01po')]","['s1', 's0']",{np.str_('Y_nizbt1'): 's0'},3,1,0.212409113126056,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,1,[np.str_('Z_7j9n4o')],['s1'],{},0,0,0.40170850319908175,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,2,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.4524046914379887,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,3,[np.str_('Y_nizbt1')],['s0'],{},0,0,0.8339842703216838,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,4,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s0', 's0']","{np.str_('O_cguird'): 's1', np.str_('Z_7j9n4o'): 's0'}",1,2,0.09708511268644449,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,5,[np.str_('O_cguird')],['s0'],{np.str_('Y_nizbt1'): 's1'},3,1,0.5067882267524849,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,6,"[np.str_('U_bx3bu6'), np.str_('O_gh8nq9')]","['s1', 's0']","{np.str_('O_cguird'): 's0', np.str_('Y_nizbt1'): 's1'}",2,2,0.2040982546742352,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,7,[np.str_('R_dbfd2r')],['s1'],{},0,0,0.573926290975176,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,8,[np.str_('O_gh8nq9')],['s1'],"{np.str_('O_cguird'): 's1', np.str_('U_bx3bu6'): 's1'}",2,2,0.6155991589739662,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,9,[np.str_('U_bx3bu6')],['s1'],"{np.str_('O_gh8nq9'): 's1', np.str_('G_2ohusw'): 's1'}",2,2,0.367862707440099,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,10,[np.str_('U_bx3bu6')],['s1'],"{np.str_('O_cguird'): 's0', np.str_('Y_nizbt1'): 's1'}",2,2,0.41261596247025134,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,11,[np.str_('L_vy01po')],['s1'],{np.str_('R_dbfd2r'): 's0'},1,1,0.32619694559288676,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,0,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s0', 's2']",{np.str_('Y_nizbt1'): 's1'},2,1,0.22305429663815035,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,1,[np.str_('U_bx3bu6')],['s2'],{np.str_('O_cguird'): 's0'},2,1,0.34591251694125774,,
