n,target_tw,achieved_tw,naming,arity,alpha,determinism,seed,variant_index,num_edges,num_nodes,bn_index,query_index,query_vars,query_states,evidence,distance,num_evidence,probability,llm_probability,llm_response
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,0,[np.str_('K_kx9xcv')],['s2'],{np.str_('O_cguird'): 's1'},2,1,0.27946042657183556,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,1,[np.str_('Z_7j9n4o')],['s1'],{},0,0,0.3659642954669576,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,2,[np.str_('Z_7j9n4o')],['s0'],{},0,0,0.6340357045330425,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,3,[np.str_('O_cguird')],['s2'],"{np.str_('R_dbfd2r'): 's1', np.str_('K_kx9xcv'): 's2'}",2,2,0.6024909375247344,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,4,"[np.str_('O_gh8nq9'), np.str_('O_cguird')]","['s2', 's0']",{},0,0,0.12241264711487608,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,5,"[np.str_('U_bx3bu6'), np.str_('R_dbfd2r')]","['s2', 's1']",{},0,0,0.04719627190895271,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,6,"[np.str_('Y_nizbt1'), np.str_('R_dbfd2r')]","['s1', 's1']",{np.str_('O_gh8nq9'): 's1'},3,1,0.1821131728857496,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,7,[np.str_('K_kx9xcv')],['s0'],{},0,0,0.14526710355140665,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,8,"[np.str_('R_dbfd2r'), np.str_('G_2ohusw')]","['s0', 's1']",{np.str_('Y_nizbt1'): 's1'},2,1,0.2072200625966507,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,9,"[np.str_('L_vy01po'), np.str_('O_gh8nq9')]","['s0', 's1']",{},0,0,0.09601326340594592,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,10,[np.str_('K_kx9xcv')],['s0'],"{np.str_('O_cguird'): 's0', np.str_('L_vy01po'): 's1'}",2,2,0.10147106403262543,,
9,3,3,confusing,range:2-3,1.0,0.0,42,0,12,9,0,11,"[np.str_('K_kx9xcv'), np.str_('Y_nizbt1')]","['s2', 's1']","{np.str_('O_cguird'): 's0', np.str_('O_gh8nq9'): 's2'}",2,2,0.119835256979929,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,0,"[np.str_('O_gh8nq9'), np.str_('L_vy01po')]","['s1', 's0']",{np.str_('U_bx3bu6'): 's0'},1,1,0.16153708640933498,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,1,[np.str_('Z_7j9n4o')],['s1'],{},0,0,0.40170850319908175,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,2,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.4524046914379887,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,3,[np.str_('Y_nizbt1')],['s0'],{},0,0,0.8339842703216838,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,4,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s0', 's0']","{np.str_('K_kx9xcv'): 's1', np.str_('Z_7j9n4o'): 's0'}",1,2,0.025104732191591445,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,5,[np.str_('O_cguird')],['s0'],{np.str_('O_gh8nq9'): 's1'},2,1,0.465664529287526,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,6,"[np.str_('U_bx3bu6'), np.str_('O_gh8nq9')]","['s1', 's0']","{np.str_('K_kx9xcv'): 's0', np.str_('Y_nizbt1'): 's0'}",1,2,0.05673503055109177,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,7,"[np.str_('L_vy01po'), np.str_('R_dbfd2r')]","['s1', 's1']",{},0,0,0.1541110358884312,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,8,"[np.str_('O_cguird'), np.str_('Y_nizbt1')]","['s0', 's0']",{},0,0,0.42032187912987024,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,9,"[np.str_('L_vy01po'), np.str_('Z_7j9n4o')]","['s1', 's1']",{np.str_('G_2ohusw'): 's1'},2,1,0.1006207177149709,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,10,[np.str_('U_bx3bu6')],['s1'],"{np.str_('Z_7j9n4o'): 's1', np.str_('O_gh8nq9'): 's1'}",1,2,0.36294578230109853,,
9,3,3,confusing,range:2-3,1.0,0.0,10015,1,12,9,1,11,"[np.str_('Z_7j9n4o'), np.str_('Y_nizbt1')]","['s0', 's1']",{np.str_('G_2ohusw'): 's0'},2,1,0.09943041428011293,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,0,"[np.str_('O_gh8nq9'), np.str_('U_bx3bu6')]","['s0', 's0']",{np.str_('O_cguird'): 's1'},2,1,0.20217691285829084,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,1,[np.str_('K_kx9xcv')],['s0'],{},0,0,0.3550378265560849,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,2,"[np.str_('U_bx3bu6'), np.str_('K_kx9xcv')]","['s0', 's2']","{np.str_('G_2ohusw'): 's0', np.str_('L_vy01po'): 's0'}",1,2,0.028545117790131892,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,3,[np.str_('K_kx9xcv')],['s2'],{},0,0,0.5700723484511567,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,4,[np.str_('O_cguird')],['s0'],{np.str_('Y_nizbt1'): 's0'},3,1,0.7650303572059598,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,5,"[np.str_('K_kx9xcv'), np.str_('R_dbfd2r')]","['s1', 's0']",{np.str_('O_gh8nq9'): 's1'},2,1,0.015536352248509076,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,6,[np.str_('O_cguird')],['s1'],"{np.str_('Z_7j9n4o'): 's1', np.str_('Y_nizbt1'): 's2'}",3,2,0.222376396908038,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,7,[np.str_('O_cguird')],['s0'],{},0,0,0.7684704631093917,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,8,[np.str_('U_bx3bu6')],['s2'],{np.str_('Y_nizbt1'): 's2'},2,1,0.25863915131892057,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,9,"[np.str_('U_bx3bu6'), np.str_('L_vy01po')]","['s1', 's0']",{np.str_('O_cguird'): 's0'},1,1,0.018480521490707395,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,10,"[np.str_('R_dbfd2r'), np.str_('O_cguird')]","['s0', 's1']","{np.str_('G_2ohusw'): 's0', np.str_('Y_nizbt1'): 's0'}",1,2,0.13522659947314855,,
9,3,3,confusing,range:2-3,1.0,0.0,19988,2,12,9,2,11,[np.str_('L_vy01po')],['s0'],{np.str_('Y_nizbt1'): 's2'},3,1,0.2136707765375217,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,0,[np.str_('G_2ohusw')],['s0'],{},0,0,0.07122105313469868,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,1,[np.str_('K_kx9xcv')],['s2'],{np.str_('O_gh8nq9'): 's1'},2,1,0.09492819550249529,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,2,[np.str_('O_cguird')],['s1'],"{np.str_('Y_nizbt1'): 's0', np.str_('O_gh8nq9'): 's1'}",2,2,0.11001397001322329,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,3,[np.str_('Y_nizbt1')],['s0'],"{np.str_('Z_7j9n4o'): 's1', np.str_('R_dbfd2r'): 's1'}",2,2,0.6414071550228548,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,4,[np.str_('Y_nizbt1')],['s1'],"{np.str_('R_dbfd2r'): 's1', np.str_('O_gh8nq9'): 's1'}",2,2,0.4168606024682677,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,5,[np.str_('G_2ohusw')],['s2'],"{np.str_('Y_nizbt1'): 's1', np.str_('U_bx3bu6'): 's0'}",2,2,0.013849911174994458,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,6,[np.str_('K_kx9xcv')],['s1'],{np.str_('L_vy01po'): 's0'},2,1,0.3669108175038191,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,7,"[np.str_('L_vy01po'), np.str_('Z_7j9n4o')]","['s1', 's1']",{},0,0,0.37326348365500833,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,8,[np.str_('O_gh8nq9')],['s0'],{},0,0,0.4901700868714794,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,9,"[np.str_('U_bx3bu6'), np.str_('R_dbfd2r')]","['s0', 's0']",{np.str_('Z_7j9n4o'): 's1'},1,1,0.00890901883190196,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,10,"[np.str_('L_vy01po'), np.str_('O_gh8nq9')]","['s1', 's0']",{},0,0,0.34308521230821526,,
9,3,3,confusing,range:2-3,1.0,0.0,29961,3,12,9,3,11,[np.str_('R_dbfd2r')],['s0'],{np.str_('Z_7j9n4o'): 's1'},2,1,0.489328844538171,,
